issue_id_1,issue_label_1,issue_id_2,issue_label_2,shared_actor_count_all,shared_actor_ids_all,shared_actor_count_human_reviewed,shared_actor_ids_human_reviewed,shared_actor_count_positioning,shared_actor_ids_positioning,shared_actor_count_event_only,shared_actor_ids_event_only,interpretation_limit
I001,anti_base,I019,peace,13,A007;A008;A047;A048;A057;A058;A063;A070;A071;A107;A111;A114;A115,3,A008;A107;A111,7,A047;A048;A058;A063;A070;A071;A114,1,A007,shared actor issue profile; not an organization-to-organization alliance
I001,anti_base,I003,Henoko,9,A019;A024;A025;A047;A059;A067;A068;A106;A110,3,A019;A106;A110,3,A047;A059;A067,4,A024;A025;A106;A110,shared actor issue profile; not an organization-to-organization alliance
I001,anti_base,I005,biodiversity,8,A006;A021;A022;A023;A027;A056;A060;A067,0,,3,A056;A060;A067,5,A006;A021;A022;A023;A027,shared actor issue profile; not an organization-to-organization alliance
I001,anti_base,I007,life_safety,7,A049;A052;A053;A103;A104;A109;A114,3,A103;A104;A109,2,A049;A114,0,,shared actor issue profile; not an organization-to-organization alliance
I001,anti_base,I011,legal,7,A050;A052;A053;A066;A103;A104;A109,3,A103;A104;A109,1,A066,1,A050,shared actor issue profile; not an organization-to-organization alliance
I007,life_safety,I011,legal,7,A052;A053;A102;A103;A104;A109;A113,4,A102;A103;A104;A109,0,,0,,shared actor issue profile; not an organization-to-organization alliance
I005,biodiversity,I012,international_advocacy,6,A033;A034;A042;A045;A046;A086,2,A046;A086,0,,5,A033;A034;A042;A045;A046,shared actor issue profile; not an organization-to-organization alliance
I007,life_safety,I021,noise,6,A052;A053;A102;A103;A104;A109,4,A102;A103;A104;A109,0,,0,,shared actor issue profile; not an organization-to-organization alliance
I011,legal,I021,noise,6,A052;A053;A102;A103;A104;A109,4,A102;A103;A104;A109,0,,0,,shared actor issue profile; not an organization-to-organization alliance
I001,anti_base,I021,noise,5,A052;A053;A103;A104;A109,3,A103;A104;A109,0,,0,,shared actor issue profile; not an organization-to-organization alliance
