dimension_type,dimension_code_or_name,dimension_label,official_mechanism_code,official_mechanism_label,source_row_count,distinct_partner_display_alias_count,source_row_numbers,fact_layer,human_gate,interpretation_limit
official_issue_field,1,保健、医療又は福祉の増進を図る事業,1,委託,149,85,60;64;65;68;76;77;82;90;91;92;93;94;95;97;98;99;100;101;102;103;104;105;106;107;108;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;164;165;166;167;176;179;186;190;191;192;193;197;198;201;208;209;211;212;213;217;218;221;222;224;225;232;238;239;240;243;244;245;247;248;250;252;254;255;256;257;263;264;265;266;267;268;269;270;272;273;274;275;276;277;278;279;280;281;282;283;284;285;286;287;288;289;290;291;292;295;296;297;303;304;305;306;307;308;309;310;314;315;316;317;318;319;320;321;322;323;324;325;326;327;329;330;331;332;503;504;505;506;507;508;509;510;511;512;513,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,1,保健、医療又は福祉の増進を図る事業,2,提案型公募による委託,7,6,78;87;88;96;189;199;200,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,1,保健、医療又は福祉の増進を図る事業,3,指定管理者制度による委任,1,1,73,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,1,保健、医療又は福祉の増進を図る事業,4,補助,45,29,61;62;63;66;67;69;70;79;80;81;83;89;109;110;111;112;113;114;115;170;171;172;177;178;180;181;182;183;184;196;202;203;220;223;226;227;228;236;237;241;242;249;251;253;271,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,1,保健、医療又は福祉の増進を図る事業,5,共催,5,4,194;195;258;259;299,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,1,保健、医療又は福祉の増進を図る事業,6,後援,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,1,保健、医療又は福祉の増進を図る事業,7,実行委員会等,3,3,214;293;294,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,1,保健、医療又は福祉の増進を図る事業,8,事業協力,8,8,74;75;233;235;260;261;262;599,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,1,保健、医療又は福祉の増進を図る事業,9,講師等,7,6,215;216;298;301;312;313;333,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,1,保健、医療又は福祉の増進を図る事業,10,その他,1,1,300,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,2,社会教育及び生涯学習の推進を図る事業,1,委託,1,1,185,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,2,社会教育及び生涯学習の推進を図る事業,2,提案型公募による委託,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,2,社会教育及び生涯学習の推進を図る事業,3,指定管理者制度による委任,5,5,564;565;566;567;568,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,2,社会教育及び生涯学習の推進を図る事業,4,補助,3,2,520;531;539,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,2,社会教育及び生涯学習の推進を図る事業,5,共催,2,2,544;561,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,2,社会教育及び生涯学習の推進を図る事業,6,後援,10,9,521;522;533;542;543;546;547;550;555;560,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,2,社会教育及び生涯学習の推進を図る事業,7,実行委員会等,1,1,554,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,2,社会教育及び生涯学習の推進を図る事業,8,事業協力,2,2,570;572,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,2,社会教育及び生涯学習の推進を図る事業,9,講師等,3,3,558;559;562,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,2,社会教育及び生涯学習の推進を図る事業,10,その他,1,1,563,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,3,地域づくりの推進を図る事業,1,委託,9,5,26;439;440;453;454;464;468;469;471,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,3,地域づくりの推進を図る事業,2,提案型公募による委託,1,1,460,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,3,地域づくりの推進を図る事業,3,指定管理者制度による委任,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,3,地域づくりの推進を図る事業,4,補助,1,1,551,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,3,地域づくりの推進を図る事業,5,共催,1,1,457,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,3,地域づくりの推進を図る事業,6,後援,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,3,地域づくりの推進を図る事業,7,実行委員会等,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,3,地域づくりの推進を図る事業,8,事業協力,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,3,地域づくりの推進を図る事業,9,講師等,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,3,地域づくりの推進を図る事業,10,その他,2,2,465;466,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
