event,source_id,origin_type,count
2010 WWF 67 groups,S003,okinawa_local,1
2010 WWF 67 groups,S003,japan_domestic,4
2010 WWF 67 groups,S003,international,0
2010 WWF 67 groups,S003,us_origin,0
2010 WWF 67 groups,S003,mixed_or_network,0
2010 WWF 67 groups,S003,unclear,0
2010 WWF 67 groups,S003,actor_ids,A003;A005;A006;A061;A062
2015 NACSJ 31 NGOs,S004,okinawa_local,4
2015 NACSJ 31 NGOs,S004,japan_domestic,8
2015 NACSJ 31 NGOs,S004,international,12
2015 NACSJ 31 NGOs,S004,us_origin,3
2015 NACSJ 31 NGOs,S004,mixed_or_network,1
2015 NACSJ 31 NGOs,S004,unclear,0
2015 NACSJ 31 NGOs,S004,actor_ids,A004;A021;A022;A023;A024;A025;A026;A027;A028;A029;A030;A031;A032;A033;A034;A035;A036;A037;A038;A039;A040;A041;A042;A043;A044;A045;A046;A061
2020 OEJP/MMC 71 groups,S006,okinawa_local,0
2020 OEJP/MMC 71 groups,S006,japan_domestic,1
2020 OEJP/MMC 71 groups,S006,international,0
2020 OEJP/MMC 71 groups,S006,us_origin,0
2020 OEJP/MMC 71 groups,S006,mixed_or_network,1
2020 OEJP/MMC 71 groups,S006,unclear,0
2020 OEJP/MMC 71 groups,S006,actor_ids,A001;A020
