place,issue_frame,same_source_e3plus_actor_count,dual_human_reviewed_actor_count
边野古,基地／反军事,21,2
边野古,生态／环境,24,2
边野古,生命／健康,0,0
边野古,自治／公投,3,0
边野古,法律／程序,4,0
边野古,国际路径,20,3
边野古,前线／台海,0,0
大浦湾,基地／反军事,3,0
大浦湾,生态／环境,6,1
大浦湾,生命／健康,0,0
大浦湾,自治／公投,0,0
大浦湾,法律／程序,2,0
大浦湾,国际路径,3,1
大浦湾,前线／台海,0,0
石垣,基地／反军事,4,0
石垣,生态／环境,1,0
石垣,生命／健康,1,0
石垣,自治／公投,2,0
石垣,法律／程序,0,0
石垣,国际路径,0,0
石垣,前线／台海,1,0
宫古,基地／反军事,3,0
宫古,生态／环境,3,0
宫古,生命／健康,3,0
宫古,自治／公投,0,0
宫古,法律／程序,0,0
宫古,国际路径,0,0
宫古,前线／台海,1,0
与那国,基地／反军事,2,1
与那国,生态／环境,0,0
与那国,生命／健康,1,1
与那国,自治／公投,0,0
与那国,法律／程序,0,0
与那国,国际路径,0,0
与那国,前线／台海,3,0
嘉手纳,基地／反军事,2,1
嘉手纳,生态／环境,0,0
嘉手纳,生命／健康,3,2
嘉手纳,自治／公投,0,0
嘉手纳,法律／程序,2,1
嘉手纳,国际路径,0,0
嘉手纳,前线／台海,0,0
普天间,基地／反军事,1,0
普天间,生态／环境,1,0
普天间,生命／健康,2,0
普天间,自治／公投,0,0
普天间,法律／程序,2,0
普天间,国际路径,0,0
普天间,前线／台海,0,0
宜野湾,基地／反军事,2,0
宜野湾,生态／环境,1,0
宜野湾,生命／健康,3,0
宜野湾,自治／公投,0,0
宜野湾,法律／程序,3,0
宜野湾,国际路径,0,0
宜野湾,前线／台海,0,0
那霸,基地／反军事,3,0
那霸,生态／环境,0,0
那霸,生命／健康,0,0
那霸,自治／公投,3,0
那霸,法律／程序,2,0
那霸,国际路径,0,0
那霸,前线／台海,0,0
冲绳全县,基地／反军事,25,3
冲绳全县,生态／环境,7,0
冲绳全县,生命／健康,6,3
冲绳全县,自治／公投,7,0
冲绳全县,法律／程序,4,0
冲绳全县,国际路径,3,0
冲绳全县,前线／台海,3,1
