functional_family,origin_type,actor_count,E2,E3,E4,actor_ids,actor_names
本地公民行动,okinawa_local,43,11,16,16,A003;A010;A011;A012;A013;A014;A015;A016;A017;A018;A019;A023;A024;A025;A029;A047;A048;A049;A051;A052;A053;A054;A055;A056;A057;A058;A059;A060;A065;A068;A069;A071;A072;A076;A077;A078;A079;A080;A081;A082;A083;A084;A085,ジュゴンネットワーク沖縄;石垣島に軍事基地をつくらせない市民連絡会;石垣市住民投票を求める会;宮古島いのちの水を守ろう！;ミサイル基地いらない宮古島住民連絡会;住民投票を成功させるための実行委員会;与那国自衛隊配備反対意見広告実行委員会;与那国島の明るい未来を願うイソバの会;沖縄対話プロジェクト;ノーモア沖縄戦 命どぅ宝の会;ヘリ基地反対協議会（海上ヘリ基地建設反対・平和と名護市政民主化を求める協議会）;美ら海にもやんばるにも基地はいらない市民の会;辺野古リレー;辺野古への基地建設を許さない実行委員会;沖縄・生物多様性市民ネットワーク;沖縄平和運動センター;沖縄一坪反戦地主会;基地・軍隊を許さない行動する女たちの会;「辺野古」県民投票の会;嘉手納爆音訴訟原告団;普天間爆音訴訟団;沖縄人権協会;泡瀬干潟を守る連絡会;沖縄環境ネットワーク;沖縄意見広告運動;沖縄県統一連（沖縄県統一行動連絡会議）;島ぐるみ会議;高江のヘリパッドいらない住民の会;南西諸島ピースネット;名護市民投票の会;沖縄ジュゴン環境アセスメント監視団;沖縄平和市民連絡会;沖縄から基地をなくし世界の平和を求める市民連絡会;ジュゴン保護基金委員会（Save the Dugong Foundation）;Diving Team Rainbow;Dugong no Sato;Okinawa Reefcheck and Research Group;Okumagawa Basin Protection Foundation;Protect Northernmost Dugong Team Zan;East Asian Community Institute Ryukyu Okinawa Center;Henoko Blue;Nago Democracy;No Heliport Base Association of 10 Districts North of Futamai
本地公民行动,japan_domestic,4,0,3,1,A008;A027;A063;A067,NGO非戦ネット;公共事業改革市民会議;一坪反戦地主会関東ブロック;辺野古土砂搬入反対全国協議会（辺野古土砂全協）
本地公民行动,mixed_or_network,0,0,0,0,,
本地公民行动,international,0,0,0,0,,
本地公民行动,us_origin,0,0,0,0,,
本地公民行动,public_institution,0,0,0,0,,
本地公民行动,corporate,0,0,0,0,,
环保／国际倡议,okinawa_local,0,0,0,0,,
环保／国际倡议,japan_domestic,14,0,0,14,A002;A004;A005;A006;A007;X015;A021;A022;A026;A030;A031;A061;A062;A066,ジュゴン保護キャンペーンセンター（Save the Dugong Campaign Center）;日本自然保護協会;WWFジャパン;グリーンピース・ジャパン;ピースボート;Peace Winds Japan;国際環境NGO FoE Japan;NPO法人 ラムサール・ネットワーク日本;ピース・ニュース;市川三番瀬を守る会;三番瀬のラムサール条約登録を実現する会;日本野鳥の会;日本湿地ネットワーク（JAWAN）;新外交イニシアティブ（ND）
环保／国际倡议,mixed_or_network,2,0,0,2,A001;A028,Okinawa Environmental Justice Project;沖縄のための日米市民ネットワーク（JUCON）
