dimension,value,count
target_table,EXCLUDE,1
target_table,LEAD,1
target_table,USN02,8
target_table,USN04,4
target_table,USN05,9
target_table,USN06,20
original_relation_type,administrative_collaboration,1
original_relation_type,aggregate_financial_history_observation,1
original_relation_type,co_presence_observation,1
original_relation_type,commission,3
original_relation_type,coordination,3
original_relation_type,deprecated_nonrelation,1
original_relation_type,donation,3
original_relation_type,event_affiliation,1
original_relation_type,event_collaboration,1
original_relation_type,grant,1
original_relation_type,grant_opportunity,1
original_relation_type,in_kind_acquisition_assistance,1
original_relation_type,in_kind_donation,2
original_relation_type,joint_in_kind_contribution,1
original_relation_type,legal_counsel,2
original_relation_type,legal_support,1
original_relation_type,network_membership,7
original_relation_type,organizational_affiliation,2
original_relation_type,partner_action,1
original_relation_type,partnership,1
original_relation_type,service,2
original_relation_type,site_presence,3
original_relation_type,sponsorship,3
